KEY,PBS,Lo,Med,Hi,AveExpr,F,P.Value,adj.P.Val,SYMBOL
Tom1l2,6.918587014247944,6.756028178398569,6.771568412616364,6.870405445281596,6.829147262636118,6586.079195230108,3.4675545985981184e-23,3.653463371756208e-22,Tom1l2
Anxa5,8.040314772892597,7.6832046511793095,7.701371594597446,7.6466381721001415,7.767882297692373,6585.9314416679445,3.46811113759915e-23,3.653463371756208e-22,Anxa5
Retreg2,6.997581865920175,6.654757652834263,6.689239696659782,6.845113468151876,6.796673170891524,6585.430282431711,3.469999597766909e-23,3.653463371756208e-22,Retreg2
Josd1,5.829307643921158,5.533664284762478,5.582126957820805,5.48843239141456,5.60838281947975,6584.627872299409,3.4730256676578553e-23,3.654368305451344e-22,Josd1
Cr1l,5.637171265812059,5.761758794171288,5.752969193700377,5.587580569937739,5.684869955905365,6579.012758559251,3.494285892117561e-23,3.674446392914395e-22,Cr1l
Ppp2r5a,6.538680550788385,6.715267545659019,6.686431515272126,6.547460610286209,6.621960055501435,6577.332085576996,3.5006781544043215e-23,3.678409006940032e-22,Ppp2r5a
Pdhb,5.995177936665246,6.198214219908534,5.975602910441888,5.951373235623743,6.030092075659852,6576.653588064525,3.503262523480205e-23,3.678409006940032e-22,Pdhb
Pdcd6,5.704689493402794,5.646394575956654,5.675128773973847,5.587148356900636,5.653340300058483,6576.30353485537,3.5045967120131805e-23,3.678409006940032e-22,Pdcd6
Slc39a1,5.415409064170689,5.273495860611792,5.2700607454140975,5.408941603944591,5.341976818535292,6575.422015613243,3.507959089831132e-23,3.6787777190479733e-22,Slc39a1
Sf3b1,8.21873393518488,8.466591301352269,8.54408934444448,8.289921581609018,8.37983404064766,6575.068089904751,3.509310102536426e-23,3.6787777190479733e-22,Sf3b1
Ppfibp1,5.927437620483825,5.976992201060323,5.954288680466965,5.913668181596504,5.943096670901905,6571.42985690978,3.5232324764662195e-23,3.6910783963078087e-22,Ppfibp1
Csnk2a2,4.835710770301446,4.9893936160567165,4.912276009380774,4.886385625588343,4.905941505331819,6569.485255400817,3.5306996640929976e-23,3.6966052907670137e-22,Csnk2a2
Chd2,6.402609470530672,6.367781060136787,6.256785774490847,6.357416988751531,6.3461483234774585,6568.077670920622,3.5361159827646043e-23,3.6999794219162887e-22,Chd2
Tnfaip1,5.790695489248507,5.583953735369493,5.6256602654845915,5.66258751012708,5.665724250057418,6563.224779432294,3.5548624177146637e-23,3.7172885554614522e-22,Tnfaip1
Ebna1bp2,5.186362272259439,4.742461975785529,4.897952427895369,4.795865909360355,4.905660646325173,6562.035813939623,3.5594725797240977e-23,3.719803221945871e-22,Ebna1bp2
Trim28,6.814682046579797,6.538984989748023,6.586670198754996,6.702085200877125,6.660605608989986,6559.5611742922165,3.5690897545569886e-23,3.726544515248203e-22,Trim28
Htatsf1,7.598620750868122,7.677042967272856,7.80550683599281,7.666849941141187,7.687005123818744,6559.2394995325285,3.570342050537201e-23,3.726544515248203e-22,Htatsf1
Gpx4,7.164206543226408,7.286184425184111,7.160588727894998,7.0371680582025284,7.162036938627012,6558.15435080053,3.574570284640327e-23,3.728650401424143e-22,Gpx4
Nfe2l1,8.024944644096603,7.6268374043910185,7.690996847820061,7.825035073092136,7.791953492349956,6556.869683548485,3.5795833130528875e-23,3.7315718010669377e-22,Nfe2l1
Pnmal2,8.753577294717072,8.215175714305293,8.475392850282608,8.576299393780591,8.505111313271392,6553.288315102191,3.5936008862535396e-23,3.7438706700703184e-22,Pnmal2
Gxylt1,5.343444840434358,5.3972548382064405,5.369332591791194,5.424097357315791,5.383532406936946,6550.855833730608,3.6031573610182944e-23,3.749293494108136e-22,Gxylt1
H3f3a,6.799528072966616,6.402978772184712,6.510964246113425,6.568823919581352,6.5705737527115256,6550.8318407753295,3.6032517661405636e-23,3.749293494108136e-22,H3f3a
Lrch3,5.269772722390002,5.2506542731058286,5.256600802308661,5.345760170457716,5.280696992065552,6550.131350062122,3.6060092311546605e-23,3.7498494267500404e-22,Lrch3
Pdlim5,5.752360009965771,5.509574689647556,5.796161739289149,5.760584099841307,5.704670134685946,6547.588889828998,3.616037790725242e-23,3.75477585297618e-22,Pdlim5
Stx16,5.994737356623869,6.178791519280459,6.12264856731495,6.138040336633935,6.108554444963303,6547.4862824701295,3.6164431851955325e-23,3.75477585297618e-22,Stx16
Bmpr1a,7.337282994781299,7.683639426526199,7.634722381819877,7.451143039494466,7.52669696065546,6547.237832526258,3.617425008054955e-23,3.75477585297618e-22,Bmpr1a
Arhgef17,7.503876406346012,7.277608094998446,7.25330808482787,7.55198262839663,7.39669380364224,6541.7045016528955,3.639370511922882e-23,3.7752313914270142e-22,Arhgef17
Pcnx,6.490553313178854,6.344461580147265,6.406373003568831,6.461884937235892,6.425818208532711,6535.9626364312,3.662303646331758e-23,3.7966856547435627e-22,Pcnx
Ubn1,6.436931383602355,6.2881836521375725,6.426312868820819,6.357139119166543,6.377141755931822,6533.122592158595,3.6737076946630754e-23,3.806168776774084e-22,Ubn1
Utp6,5.483502102688808,5.3634575732993595,5.447315121406944,5.336325384285305,5.407650045420104,6529.591368846357,3.6879436240946475e-23,3.8185724436835124e-22,Utp6
Atp6v1h,6.4431776810014,6.681024948750498,6.677050543559883,6.5729167036536715,6.593542469241363,6528.2286681279675,3.693454080618558e-23,3.821766609919795e-22,Atp6v1h
Gpx1,6.011893496272043,5.793436645273185,5.698483861204651,5.857624141745856,5.840359536123934,6527.708457290206,3.695560171209572e-23,3.821766609919795e-22,Gpx1
Mapk6,5.613388726445555,5.6405493812926295,5.6103217274449,5.516533551536004,5.595198346679773,6526.438260727027,3.700708357076566e-23,3.8247455795839733e-22,Mapk6
Serf2,5.602104910995857,5.4258056893423365,5.430510501649624,5.263749131809719,5.430542558449384,6518.370621110033,3.733598476790549e-23,3.8563751076562273e-22,Serf2
